timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648577862,3,0,1,0,15863683,15863957,15863893,0,67,0,2,0,1,0,30221920,30222169,30222109,0,72,0,1,0,1,0,43312153,43312399,43312336,0,66,0
1648577863,3,0,1,0,16873505,16873583,16873565,0,20,0,2,0,1,0,31232932,31233006,31232989,0,19,0,1,0,1,0,44324349,44324423,44324405,0,20,0
1648577864,3,0,1,0,17891230,17891283,17891267,0,17,0,2,0,1,0,32250786,32250876,32250856,0,22,0,1,0,1,0,45341544,45341578,45341566,0,13,0
1648577865,3,0,1,0,18912119,18912148,18912139,0,10,0,2,0,1,0,33268699,33268744,33268731,0,15,0,1,0,1,0,46360119,46360343,46360305,0,39,5
1648577866,3,0,1,0,19961320,19963887,19963415,70,473,11,2,0,1,0,34297213,34306287,34306275,0,13,0,1,0,1,0,47380641,47380782,47380725,0,58,4
1648577867,3,0,1,0,21010370,21010565,21010550,0,16,0,2,0,1,0,35340120,35368810,35368795,0,17,0,1,0,1,0,48406630,48419649,48406664,32,12986,84
1648577868,3,0,1,0,21995599,21995630,21995621,0,10,0,2,0,1,0,36338162,36338202,36338192,0,11,0,1,0,1,0,49425949,49429766,49429753,0,14,0
1648577869,3,0,1,0,23041384,23041985,23041966,0,20,0,2,0,1,0,37390610,37390816,37390803,0,14,0,1,0,1,0,50458777,50459757,50459420,4,337,6
1648577870,3,0,1,0,24085327,24114855,24114838,0,18,0,2,0,1,0,38411970,38422581,38412893,8,9690,88,1,0,1,0,51469322,51500051,51500037,0,16,0
1648577871,3,0,1,0,25142497,25152788,25142522,33,10269,68,2,0,1,0,39451688,39474876,39451760,149,23119,115,1,0,1,0,52490284,52526860,52526847,0,14,0
