timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648578686204;0;3.443;30;3312;3122;1280x720
1648578687206;0;6.678;30;3312;3727;1280x720
1648578688218;0;9.587;30;3312;4476;1280x720
1648578689205;0;12.667;30;3312;5265;1280x720
1648578690214;0;19.471;30;3312;5961;1280x720
1648578691205;0;3.443;30;3312;3538;1280x720
1648578691205;0;22.508;30;3312;6660;1280x720
1648578692212;0;6.678;30;3312;3773;1280x720
1648578692213;0;25.48;30;3312;7500;1280x720
1648578693205;0;9.587;30;3312;3550;1280x720
1648578693206;0;24.698;30;3312;8027;1280x720
1648578694217;0;12.667;30;3312;3436;1280x720
1648578694218;2;27.71;30;3312;8701;1280x720
1648578695211;0;19.471;30;3312;3370;1280x720
1648578695215;3;30.715;30;3312;9370;1280x720
1648578696205;0;3.443;30;3312;3600;1280x720
1648578696205;0;22.508;30;3312;3600;1280x720
1648578696205;5;33.734;30;3312;10260;1280x720
1648578697207;7;36.713;30;3312;10892;1280x720
1648578697207;0;6.678;30;3312;3392;1280x720
1648578697207;0;25.48;30;3312;3392;1280x720
1648578698205;9;39.775;30;3312;11467;1280x720
1648578698205;0;9.587;30;3312;3440;1280x720
1648578698205;0;24.698;30;3312;3440;1280x720
1648578699206;0;12.667;30;3312;3473;1280x720
1648578699206;2;27.71;30;3312;3473;1280x720
1648578699233;9;38.802;30;3312;12174;1280x720
1648578700209;0;19.471;30;3312;3441;1280x720
1648578700211;11;41.779;30;3312;12772;1280x720
1648578700216;3;30.715;30;3312;3403;1280x720
1648578701209;0;3.443;30;3312;3116;1280x720
1648578701209;0;22.508;30;3312;3116;1280x720
1648578701209;5;33.734;30;3312;3116;1280x720
1648578701209;12;44.725;30;3312;13376;1280x720
1648578702205;7;36.713;30;3312;3063;1280x720
1648578702207;0;6.678;30;3312;3063;1280x720
1648578702207;0;25.48;30;3312;3063;1280x720
1648578702207;12;44.174;30;3312;13954;1280x720
1648578703204;9;39.775;30;3312;3225;1280x720
1648578703204;0;9.587;30;3312;3225;1280x720
1648578703206;0;24.698;30;3312;3225;1280x720
1648578703206;13;46.969;30;3312;14692;1280x720
1648578704204;14;49.892;30;3312;15479;1280x720
1648578704204;0;12.667;30;3312;3305;1280x720
1648578704205;2;27.71;30;3312;3305;1280x720
1648578704220;9;38.802;30;3312;3305;1280x720
1648578705213;17;48.876;30;3312;16109;1280x720
1648578705213;0;19.471;30;3312;3337;1280x720
1648578705213;11;41.779;30;3312;3337;1280x720
1648578705219;3;30.715;30;3312;3337;1280x720
1648578706205;0;3.443;30;3312;3372;1280x720
1648578706210;0;22.508;30;3312;3380;1280x720
1648578706212;5;33.734;30;3312;3380;1280x720
1648578706212;12;44.725;30;3312;3380;1280x720
1648578706231;18;51.816;30;3312;16757;1280x720
1648578707205;7;36.713;30;3312;3448;1280x720
1648578707206;18;54.892;30;3312;17402;1280x720
1648578707206;0;6.678;30;3312;3448;1280x720
1648578707206;0;25.48;30;3312;3448;1280x720
1648578707207;12;44.174;30;3312;3448;1280x720
1648578708204;9;39.775;30;3312;3377;1280x720
1648578708205;0;9.587;30;3312;3377;1280x720
1648578708205;18;53.936;30;3312;18069;1280x720
1648578708205;0;24.698;30;3312;3377;1280x720
1648578708205;13;46.969;30;3312;3377;1280x720
1648578709204;14;49.892;30;3312;3379;1280x720
1648578709212;19;56.97;30;3312;18858;1280x720
1648578709212;0;12.667;30;3312;3379;1280x720
1648578709212;2;27.71;30;3312;3379;1280x720
1648578709212;9;38.802;30;3312;3379;1280x720
1648578710210;17;48.876;30;3312;3351;1280x720
1648578710217;0;19.471;30;3312;3351;1280x720
1648578710217;11;41.779;30;3312;3351;1280x720
1648578710217;19;55.963;30;3312;19460;1280x720
1648578710217;3;30.715;30;3312;3351;1280x720
1648578711206;0;3.443;30;3312;3438;1280x720
1648578711207;0;22.508;30;3312;3429;1280x720
1648578711207;5;33.734;30;3312;3429;1280x720
1648578711207;12;44.725;30;3312;3429;1280x720
1648578711214;19;55.423;30;3312;20186;1280x720
1648578711214;18;51.816;30;3312;3429;1280x720
1648578712205;7;36.713;30;3312;3422;1280x720
1648578712205;18;54.892;30;3312;3422;1280x720
1648578712206;20;57.977;30;3312;20825;1280x720
1648578712206;0;6.678;30;3312;3422;1280x720
1648578712207;0;25.48;30;3312;3422;1280x720
1648578712213;12;44.174;30;3312;3422;1280x720
1648578713205;20;57.199;30;3312;21545;1280x720
1648578713220;9;39.775;30;3312;3476;1280x720
1648578713220;0;9.587;30;3312;3476;1280x720
1648578713220;18;53.936;30;3312;3476;1280x720
1648578713220;0;24.698;30;3312;3476;1280x720
1648578713221;13;46.969;30;3312;3476;1280x720
1648578714204;14;49.892;30;3312;3318;1280x720
1648578714205;22;60.212;30;3312;22176;1280x720
