timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648577871299;0;7.264;30;3312;3177;1280x720
1648577872307;0;10.494;30;3312;3795;1280x720
1648577873310;0;21.3;30;3312;4648;1280x720
1648577874300;0;20.47;30;3312;5380;1280x720
1648577875305;0;23.465;30;3312;6105;1280x720
1648577876298;1;30.428;30;3312;6898;1280x720
1648577876299;0;7.264;30;3312;3722;1280x720
1648577877300;1;33.388;30;3312;7610;1280x720
1648577877321;0;10.494;30;3312;3815;1280x720
1648577878294;0;21.3;30;3312;3534;1280x720
1648577878308;1;32.414;30;3312;8209;1280x720
1648577879295;0;20.47;30;3312;3452;1280x720
1648577879299;1;35.403;30;3312;8833;1280x720
1648577880307;0;23.465;30;3312;3442;1280x720
1648577880308;1;42.4;30;3312;9547;1280x720
1648577881294;1;45.426;30;3312;10420;1280x720
1648577881296;1;30.428;30;3312;3528;1280x720
1648577881298;0;7.264;30;3312;3528;1280x720
1648577882297;1;33.388;30;3312;3417;1280x720
1648577882300;1;48.421;30;3312;11028;1280x720
1648577882346;0;10.494;30;3312;3417;1280x720
1648577883302;0;21.3;30;3312;3433;1280x720
1648577883302;1;51.429;30;3312;11616;1280x720
1648577883322;1;32.414;30;3312;3417;1280x720
1648577884295;0;20.47;30;3312;3453;1280x720
1648577884296;1;54.42;30;3312;12286;1280x720
1648577884302;1;35.403;30;3312;3453;1280x720
1648577885298;0;23.465;30;3312;3344;1280x720
1648577885304;1;42.4;30;3312;3344;1280x720
1648577885308;3;57.424;30;3312;12890;1280x720
1648577886334;1;45.426;30;3312;3056;1280x720
1648577886335;6;60.625;30;3312;13476;1280x720
1648577886335;1;30.428;30;3312;3050;1280x720
1648577886335;0;7.264;30;3312;3050;1280x720
1648577887323;1;33.388;30;3312;3140;1280x720
1648577887323;6;59.638;30;3312;14168;1280x720
1648577887323;1;48.421;30;3312;3140;1280x720
1648577887323;0;10.494;30;3312;3140;1280x720
1648577888313;0;21.3;30;3312;3316;1280x720
1648577888313;1;51.429;30;3312;3316;1280x720
1648577888313;8;62.607;30;3312;14932;1280x720
1648577888313;1;32.414;30;3312;3306;1280x720
1648577889294;0;20.47;30;3312;3354;1280x720
1648577889295;8;61.635;30;3312;15641;1280x720
1648577889316;1;54.42;30;3312;3354;1280x720
1648577889316;1;35.403;30;3312;3354;1280x720
1648577890295;0;23.465;30;3312;3403;1280x720
1648577890299;8;60.661;30;3312;16293;1280x720
1648577890305;1;42.4;30;3312;3403;1280x720
1648577890323;3;57.424;30;3312;3403;1280x720
1648577891294;1;45.426;30;3312;3389;1280x720
1648577891295;6;60.625;30;3312;3389;1280x720
1648577891296;1;30.428;30;3312;3389;1280x720
