timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648574106,3,0,1,0,28745456,28745614,28745580,0,36,0,2,0,1,0,53424398,53424544,53424511,0,34,0,1,0,1,0,76799360,76799492,76799461,0,33,0
1648574107,3,0,1,0,29759080,29759186,29759163,0,25,0,2,0,1,0,54438947,54439057,54439033,0,27,0,1,0,1,0,77813485,77813562,77813544,0,20,0
1648574108,3,0,1,0,30773744,30773852,30773795,0,59,0,2,0,1,0,55454192,55454237,55454222,0,16,0,1,0,1,0,78828634,78828688,78828670,0,20,0
1648574109,3,0,1,0,31814667,31814703,31814693,0,11,0,2,0,1,0,56493285,56493354,56493344,0,11,0,1,0,1,0,79853727,79859812,79859743,0,71,0
1648574110,3,0,1,0,32821330,32821418,32821407,0,12,0,2,0,1,0,57496893,57496931,57496920,0,12,0,1,0,1,0,80870292,80870327,80870315,0,13,0
1648574111,3,0,1,0,33833791,33834889,33834382,54,508,0,2,0,1,0,58513534,58513695,58513626,9,70,0,1,0,1,0,81884980,81885014,81885004,0,11,0
1648574112,3,0,1,0,34861934,34880029,34880014,0,17,0,2,0,1,0,59540091,59540134,59540123,0,12,0,1,0,1,0,82901132,82901197,82901180,0,18,0
1648574113,3,0,1,0,35870911,35870950,35870941,0,10,0,2,0,1,0,60546255,60546352,60546312,5,41,0,1,0,1,0,83918015,83918050,83918040,0,11,0
1648574114,3,0,1,0,36914349,36914384,36914374,0,11,0,2,0,1,0,61581330,61582910,61582896,0,15,0,1,0,1,0,84952909,84952937,84952928,0,10,0
1648574115,3,0,1,0,37943423,37943469,37943454,0,17,0,2,0,1,0,62627636,62627675,62627665,0,11,0,1,0,1,0,85977337,85996029,85996016,0,14,0
1648574116,3,0,1,0,38973309,38973347,38973338,0,10,0,2,0,1,0,63643502,63658175,63643531,29,14646,26,1,0,1,0,87011382,87014101,87011401,22,2701,20
1648574117,3,0,1,0,39957798,39957831,39957821,0,11,0,2,0,1,0,64642205,64642280,64642262,0,19,0,1,0,1,0,88010579,88012114,88012092,0,23,0
1648574118,3,0,1,0,40998191,40998229,40998219,0,11,0,2,0,1,0,65678431,65684044,65684029,0,16,0,1,0,1,0,89024698,89024730,89024721,0,10,0
1648574119,3,0,1,0,42022759,42023902,42023863,0,41,0,2,0,1,0,66707992,66708065,66708049,0,18,0,1,0,1,0,90076082,90076749,90076556,0,195,0
1648574120,3,0,1,0,43047714,43050175,43050081,0,146,0,2,0,1,0,67729181,67729218,67729206,0,14,0,1,0,1,0,91092391,91092427,91092415,0,14,0
