timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648573335102;0;3.989;30;3312;2898;1280x720
1648573336095;0;11.209;30;3312;3475;1280x720
1648573337093;0;22.279;30;3312;4102;1280x720
1648573338105;0;33.228;30;3312;4804;1280x720
1648573339093;1;40.401;30;3312;5469;1280x720
1648573340093;1;47.397;30;3312;6127;1280x720
1648573340102;0;3.989;30;3312;3229;1280x720
1648573341093;0;11.209;30;3312;3461;1280x720
1648573341108;1;54.358;30;3312;7015;1280x720
1648573342093;0;22.279;30;3312;3527;1280x720
1648573342095;1;57.394;30;3312;7629;1280x720
1648573343096;1;60.334;30;3312;8238;1280x720
1648573343110;0;33.228;30;3312;3435;1280x720
1648573344093;1;40.401;30;3312;3425;1280x720
1648573344093;1;59.422;30;3312;8894;1280x720
1648573345096;1;47.397;30;3312;3512;1280x720
1648573345097;2;62.42;30;3312;9639;1280x720
1648573345098;0;3.989;30;3312;3512;1280x720
1648573346097;2;61.419;30;3312;10478;1280x720
1648573346097;0;11.209;30;3312;3542;1280x720
1648573346097;1;54.358;30;3312;3463;1280x720
1648573347093;2;60.421;30;3312;11040;1280x720
1648573347094;0;22.279;30;3312;3411;1280x720
1648573347094;1;57.394;30;3312;3411;1280x720
1648573348095;2;59.409;30;3312;11640;1280x720
1648573348096;1;60.334;30;3312;3402;1280x720
1648573348116;0;33.228;30;3312;3402;1280x720
1648573349118;1;40.401;30;3312;3430;1280x720
1648573349118;2;58.447;30;3312;12324;1280x720
1648573349118;1;59.422;30;3312;3430;1280x720
1648573350095;1;47.397;30;3312;3267;1280x720
1648573350099;2;62.42;30;3312;3267;1280x720
1648573350099;2;57.439;30;3312;12905;1280x720
1648573350099;0;3.989;30;3312;3267;1280x720
1648573351095;2;61.419;30;3312;3000;1280x720
1648573351095;0;11.209;30;3312;3000;1280x720
1648573351095;1;54.358;30;3312;3000;1280x720
1648573351124;3;56.434;30;3312;13478;1280x720
1648573352098;2;60.421;30;3312;3202;1280x720
1648573352144;0;22.279;30;3312;3230;1280x720
1648573352144;1;57.394;30;3312;3230;1280x720
1648573352144;4;55.461;30;3312;14270;1280x720
1648573353095;4;58.428;30;3312;14971;1280x720
1648573353095;2;59.409;30;3312;3332;1280x720
1648573353096;1;60.334;30;3312;3332;1280x720
1648573353110;0;33.228;30;3312;3362;1280x720
1648573354092;1;40.401;30;3312;3336;1280x720
1648573354093;2;58.447;30;3312;3336;1280x720
1648573354093;1;59.422;30;3312;3338;1280x720
1648573354121;4;57.431;30;3312;15663;1280x720
1648573355095;1;47.397;30;3312;3449;1280x720
1648573355095;2;62.42;30;3312;3449;1280x720
1648573355134;2;57.439;30;3312;3463;1280x720
1648573355135;0;3.989;30;3312;3463;1280x720
1648573355135;6;60.449;30;3312;16368;1280x720
1648573356092;8;59.463;30;3312;16939;1280x720
1648573356093;2;61.419;30;3312;3461;1280x720
1648573356093;0;11.209;30;3312;3461;1280x720
1648573356105;1;54.358;30;3312;3461;1280x720
