timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648571362,3,0,1,0,22146114,22146324,22146264,0,62,0,2,0,1,0,29778430,29778643,29778577,0,68,0,1,0,1,0,37175356,37175558,37175499,0,68,0
1648571363,3,0,1,0,23160613,23160759,23160693,0,71,0,2,0,1,0,30792867,30792946,30792923,0,25,0,1,0,1,0,38190363,38190433,38190410,0,25,0
1648571364,3,0,1,0,24191526,24191561,24191547,0,15,0,2,0,1,0,31818754,31818829,31818819,0,11,0,1,0,1,0,39214220,39214262,39214251,0,12,0
1648571365,3,0,1,0,25201732,25201866,25201803,0,64,0,2,0,1,0,32832968,32833030,32833015,0,17,0,1,0,1,0,40228152,40228235,40228214,0,22,0
1648571366,3,0,1,0,26224814,26230191,26230178,0,14,0,2,0,1,0,33847818,33847856,33847845,0,12,0,1,0,1,0,41245421,41245615,41245556,0,61,0
1648571367,3,0,1,0,27267150,27267222,27267211,0,12,0,2,0,1,0,34886604,34887233,34887081,22,153,0,1,0,1,0,42277077,42277127,42277114,0,14,0
1648571369,3,0,1,0,28284911,28299104,28299085,0,21,0,2,0,1,0,35905960,35906772,35906760,0,13,0,1,0,1,0,43289130,43300964,43300894,0,71,0
1648571370,3,0,1,0,29295123,29295167,29295154,0,14,0,2,0,1,0,36920111,36920709,36920500,15,210,11,1,0,1,0,44313735,44313957,44313877,14,81,1
1648571371,3,0,1,0,30304567,30304622,30304612,0,11,0,2,0,1,0,37933584,37933623,37933613,0,11,0,1,0,1,0,45331429,45331464,45331454,0,11,0
1648571372,3,0,1,0,31348721,31349327,31349314,0,14,0,2,0,1,0,38976902,38976938,38976928,0,11,0,1,0,1,0,46355788,46355891,46355856,0,36,3
1648571373,3,0,1,0,32347161,32347197,32347184,0,14,0,2,0,1,0,39973606,39973664,39973650,0,16,0,1,0,1,0,47371342,47371395,47371382,0,15,0
1648571374,3,0,1,0,33362355,33369746,33369727,0,20,0,2,0,1,0,40989499,40989596,40989576,0,22,0,1,0,1,0,48387339,48387368,48387358,0,11,0
1648571375,3,0,1,0,34381401,34385191,34385171,0,21,0,2,0,1,0,42007019,42007271,42007189,1,83,6,1,0,1,0,49398212,49398302,49398270,2,33,0
1648571376,3,0,1,0,35406517,35407064,35406862,0,203,14,2,0,1,0,43021104,43021138,43021128,0,11,0,1,0,1,0,50412344,50412416,50412398,0,20,0
1648571377,3,0,1,0,36414214,36420424,36420404,0,21,0,2,0,1,0,44034682,44034759,44034743,0,18,0,1,0,1,0,51432313,51432408,51432386,0,24,0
1648571378,3,0,1,0,37441826,37442487,37442442,0,47,0,2,0,1,0,45061908,45061943,45061933,0,11,0,1,0,1,0,52455310,52455781,52455710,0,72,10
1648571379,3,0,1,0,38470536,38471906,38471243,0,665,0,2,0,1,0,46088397,46088431,46088422,0,10,0,1,0,1,0,53473476,53474916,53474796,0,121,10
