timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648571372804;0;3.588;30;3312;2017;1280x720
1648571373799;0;2.702;24;1867;2393;854x480
1648571374801;0;5.482;24;1867;2720;854x480
1648571375800;0;4.702;24;1867;3223;854x480
1648571376810;0;7.706;24;1867;3580;854x480
1648571377802;0;10.71;24;1867;3985;854x480
1648571377802;0;3.588;30;3312;1968;1280x720
1648571378798;0;2.702;24;1867;2049;854x480
1648571378801;0;13.724;24;1867;4442;854x480
1648571379801;0;5.482;24;1867;2052;854x480
1648571379802;0;12.753;24;1867;4772;854x480
1648571380800;0;4.702;24;1867;1924;854x480
1648571380801;0;11.742;24;1867;5147;854x480
1648571381799;0;10.721;24;1867;5517;854x480
1648571381810;0;7.706;24;1867;1940;854x480
1648571382799;0;13.724;24;1867;6032;854x480
1648571382804;0;10.71;24;1867;2047;854x480
1648571382805;0;3.588;30;3312;2047;1280x720
1648571383801;0;12.73;24;1867;6349;854x480
1648571383801;0;2.702;24;1867;1907;854x480
1648571383804;0;13.724;24;1867;1907;854x480
1648571384801;0;5.482;24;1867;1932;854x480
1648571384801;0;12.753;24;1867;1932;854x480
1648571384802;0;11.732;24;1867;6704;854x480
1648571385799;0;4.702;24;1867;1931;854x480
1648571385800;0;11.742;24;1867;1931;854x480
1648571385800;0;10.733;24;1867;7078;854x480
1648571386803;0;13.651;24;1867;7451;854x480
1648571386803;0;10.721;24;1867;1934;854x480
1648571386810;0;7.706;24;1867;1931;854x480
1648571387801;0;13.724;24;1867;1802;854x480
1648571387802;0;12.733;24;1867;7833;854x480
1648571387802;0;10.71;24;1867;1802;854x480
1648571387807;0;3.588;30;3312;1802;1280x720
1648571388798;0;12.73;24;1867;1879;854x480
1648571388798;0;2.702;24;1867;1879;854x480
1648571388804;0;13.724;24;1867;1879;854x480
1648571388804;1;11.752;24;1867;8228;854x480
1648571389798;1;10.77;24;1867;8659;854x480
1648571389801;0;5.482;24;1867;1955;854x480
1648571389802;0;12.753;24;1867;1955;854x480
1648571389802;0;11.732;24;1867;1955;854x480
1648571390801;1;13.777;24;1867;9101;854x480
1648571390802;0;4.702;24;1867;2023;854x480
1648571390802;0;11.742;24;1867;2023;854x480
1648571390802;0;10.733;24;1867;2023;854x480
1648571391800;0;13.651;24;1867;1996;854x480
1648571391800;0;10.721;24;1867;1996;854x480
1648571391811;1;12.788;24;1867;9447;854x480
1648571391812;0;7.706;24;1867;1996;854x480
1648571392799;0;13.724;24;1867;1984;854x480
1648571392803;0;12.733;24;1867;1984;854x480
1648571392804;0;10.71;24;1867;1984;854x480
1648571392804;2;11.78;24;1867;9817;854x480
1648571392805;0;3.588;30;3312;1984;1280x720
1648571393801;0;12.73;24;1867;1965;854x480
1648571393801;0;2.702;24;1867;1965;854x480
1648571393804;2;10.77;24;1867;10193;854x480
1648571393804;0;13.724;24;1867;1965;854x480
1648571393806;1;11.752;24;1867;1973;854x480
1648571394802;1;10.77;24;1867;1929;854x480
1648571394803;2;9.754;24;1867;10588;854x480
1648571394803;0;5.482;24;1867;1929;854x480
1648571394803;0;12.753;24;1867;1929;854x480
1648571394804;0;11.732;24;1867;1929;854x480
1648571395798;2;12.741;24;1867;11014;854x480
1648571395801;1;13.777;24;1867;1913;854x480
1648571395802;0;4.702;24;1867;1913;854x480
1648571395802;0;11.742;24;1867;1913;854x480
1648571395802;0;10.733;24;1867;1913;854x480
1648571396800;0;13.651;24;1867;1969;854x480
1648571396800;0;10.721;24;1867;1969;854x480
1648571396801;3;11.738;30;3312;11416;1280x720
1648571396811;1;12.788;24;1867;1975;854x480
1648571396811;0;7.706;24;1867;1975;854x480
1648571397799;0;13.724;24;1867;1974;854x480
1648571397799;4;10.749;30;3312;11792;1280x720
1648571397800;0;12.733;24;1867;1974;854x480
1648571397802;0;10.71;24;1867;1974;854x480
1648571397802;2;11.78;24;1867;1974;854x480
1648571397802;0;3.588;30;3312;1974;1280x720
1648571398820;0;12.73;24;1867;1989;854x480
1648571398821;0;2.702;24;1867;1989;854x480
1648571398821;2;10.77;24;1867;1989;854x480
1648571398821;0;13.724;24;1867;1989;854x480
1648571398821;1;11.752;24;1867;1981;854x480
1648571398821;4;9.996;30;3312;12182;1280x720
1648571399801;1;10.77;24;1867;1999;854x480
1648571399801;2;9.754;24;1867;1999;854x480
1648571399801;0;5.482;24;1867;1999;854x480
1648571399801;0;12.753;24;1867;1999;854x480
1648571399801;0;11.732;24;1867;1999;854x480
1648571399804;4;8.988;30;3312;12587;1280x720
1648571400799;2;12.741;24;1867;1918;854x480
1648571400799;4;8.004;30;3312;12932;1280x720
1648571400799;1;13.777;24;1867;1918;854x480
1648571400800;0;4.702;24;1867;1918;854x480
1648571400800;0;11.742;24;1867;1918;854x480
1648571400800;0;10.733;24;1867;1918;854x480
1648571401804;0;13.651;24;1867;1883;854x480
1648571401821;0;10.721;24;1867;1883;854x480
1648571401822;3;11.738;30;3312;1883;1280x720
1648571401822;4;6.998;30;3312;13300;1280x720
1648571401822;1;12.788;24;1867;1878;854x480
1648571401822;0;7.706;24;1867;1878;854x480
1648571402819;0;13.724;24;1867;1785;854x480
1648571402819;4;10.749;30;3312;1785;1280x720
1648571402819;0;12.733;24;1867;1785;854x480
1648571402819;5;6.036;30;3312;13577;1280x720
1648571402819;0;10.71;24;1867;1785;854x480
1648571402820;2;11.78;24;1867;1785;854x480
1648571402820;0;3.588;30;3312;1785;1280x720
1648571403806;0;12.73;24;1867;1507;854x480
1648571403807;0;2.702;24;1867;1507;854x480
1648571403807;2;10.77;24;1867;1507;854x480
1648571403807;0;13.724;24;1867;1507;854x480
1648571403807;1;11.752;24;1867;1507;854x480
1648571403807;4;9.996;30;3312;1507;1280x720
1648571403823;5;5.041;30;3312;13689;1280x720
1648571404798;1;10.77;24;1867;1242;854x480
1648571404798;2;9.754;24;1867;1242;854x480
