timestamp;droppedFrames;bufferLevel;frameRate;bitrate;calculatedBitrate;resolution
1648572137832;0;3.599;30;3312;3082;1280x720
1648572138832;0;6.611;30;3312;3721;1280x720
1648572139836;0;9.601;30;3312;4431;1280x720
1648572140841;0;8.584;30;3312;5263;1280x720
1648572141832;0;11.58;30;3312;5926;1280x720
1648572142831;0;3.599;30;3312;3578;1280x720
1648572142833;0;14.571;30;3312;6660;1280x720
1648572143840;0;6.611;30;3312;3778;1280x720
1648572143851;1;13.547;30;3312;7500;1280x720
1648572144832;1;16.776;30;3312;8027;1280x720
1648572144844;0;9.601;30;3312;3623;1280x720
1648572145831;0;8.584;30;3312;3473;1280x720
1648572145834;1;15.778;30;3312;8736;1280x720
1648572146832;0;11.58;30;3312;3471;1280x720
1648572146832;1;18.768;30;3312;9397;1280x720
1648572147832;1;21.679;30;3312;10275;1280x720
1648572147834;0;3.599;30;3312;3614;1280x720
1648572147834;0;14.571;30;3312;3614;1280x720
1648572148833;0;6.611;30;3312;3444;1280x720
1648572148833;1;13.547;30;3312;3444;1280x720
1648572148838;1;20.748;30;3312;10944;1280x720
1648572149832;1;23.602;30;3312;11516;1280x720
1648572149833;1;16.776;30;3312;3489;1280x720
1648572149853;0;9.601;30;3312;3501;1280x720
1648572150832;1;22.732;30;3312;12237;1280x720
1648572150832;0;8.584;30;3312;3501;1280x720
1648572150834;1;15.778;30;3312;3501;1280x720
1648572151831;0;11.58;30;3312;3432;1280x720
1648572151832;1;18.768;30;3312;3432;1280x720
1648572151832;1;25.732;30;3312;12829;1280x720
1648572152841;1;21.679;30;3312;3151;1280x720
1648572152841;0;3.599;30;3312;3151;1280x720
1648572152841;0;14.571;30;3312;3151;1280x720
1648572152841;2;24.725;30;3312;13426;1280x720
1648572153838;2;27.72;30;3312;14098;1280x720
1648572153838;0;6.611;30;3312;3154;1280x720
1648572153838;1;13.547;30;3312;3154;1280x720
1648572153839;1;20.748;30;3312;3154;1280x720
1648572154831;1;23.602;30;3312;3279;1280x720
1648572154832;1;16.776;30;3312;3279;1280x720
1648572154833;2;26.718;30;3312;14795;1280x720
1648572154836;0;9.601;30;3312;3240;1280x720
1648572155832;1;22.732;30;3312;3327;1280x720
1648572155832;0;8.584;30;3312;3327;1280x720
1648572155832;2;25.729;30;3312;15564;1280x720
1648572155834;1;15.778;30;3312;3327;1280x720
1648572156865;2;28.737;30;3312;16227;1280x720
1648572156866;0;11.58;30;3312;3398;1280x720
1648572156866;1;18.768;30;3312;3398;1280x720
1648572156866;1;25.732;30;3312;3398;1280x720
1648572157841;1;21.679;30;3312;3436;1280x720
1648572157879;0;3.599;30;3312;3436;1280x720
1648572157879;0;14.571;30;3312;3436;1280x720
1648572157879;2;24.725;30;3312;3436;1280x720
1648572157879;2;27.743;30;3312;16862;1280x720
1648572158845;2;27.72;30;3312;3443;1280x720
1648572158845;0;6.611;30;3312;3443;1280x720
1648572158845;1;13.547;30;3312;3443;1280x720
1648572158845;1;20.748;30;3312;3443;1280x720
1648572158846;2;30.695;30;3312;17541;1280x720
1648572159834;1;23.602;30;3312;3401;1280x720
1648572159835;1;16.776;30;3312;3401;1280x720
1648572159835;2;29.739;30;3312;18196;1280x720
1648572159835;2;26.718;30;3312;3401;1280x720
1648572159836;0;9.601;30;3312;3401;1280x720
1648572160839;1;22.732;30;3312;3353;1280x720
1648572160839;0;8.584;30;3312;3353;1280x720
1648572160839;2;28.743;30;3312;18917;1280x720
1648572160839;2;25.729;30;3312;3353;1280x720
1648572160839;1;15.778;30;3312;3353;1280x720
1648572161831;2;28.737;30;3312;3361;1280x720
1648572161832;0;11.58;30;3312;3361;1280x720
1648572161845;1;18.768;30;3312;3361;1280x720
1648572161846;1;25.732;30;3312;3361;1280x720
1648572161866;2;31.996;30;3312;19597;1280x720
1648572162836;1;21.679;30;3312;3440;1280x720
1648572162836;0;3.599;30;3312;3440;1280x720
1648572162836;0;14.571;30;3312;3440;1280x720
1648572162837;2;24.725;30;3312;3440;1280x720
1648572162843;2;27.743;30;3312;3440;1280x720
1648572162844;2;30.954;30;3312;20303;1280x720
1648572163831;2;27.72;30;3312;3405;1280x720
1648572163832;0;6.611;30;3312;3405;1280x720
1648572163832;1;13.547;30;3312;3405;1280x720
1648572163845;1;20.748;30;3312;3405;1280x720
1648572163845;2;30.695;30;3312;3405;1280x720
1648572163846;3;33.787;30;3312;20946;1280x720
1648572164832;1;23.602;30;3312;3476;1280x720
1648572164845;1;16.776;30;3312;3477;1280x720
1648572164846;2;29.739;30;3312;3477;1280x720
1648572164846;2;26.718;30;3312;3477;1280x720
1648572164846;3;32.93;30;3312;21673;1280x720
1648572164846;0;9.601;30;3312;3477;1280x720
1648572165831;1;22.732;30;3312;3375;1280x720
1648572165831;0;8.584;30;3312;3375;1280x720
1648572165832;2;28.743;30;3312;3375;1280x720
1648572165832;2;25.729;30;3312;3375;1280x720
1648572165834;1;15.778;30;3312;3375;1280x720
1648572165860;3;31.93;30;3312;22292;1280x720
1648572166831;2;28.737;30;3312;3266;1280x720
1648572166832;0;11.58;30;3312;3266;1280x720
1648572166832;3;30.838;30;3312;22854;1280x720
1648572166832;1;18.768;30;3312;3266;1280x720
1648572166832;1;25.732;30;3312;3266;1280x720
1648572166866;2;31.996;30;3312;3264;1280x720
1648572167831;1;21.679;30;3312;3260;1280x720
1648572167832;0;3.599;30;3312;3260;1280x720
1648572167843;0;14.571;30;3312;3263;1280x720
1648572167843;2;24.725;30;3312;3263;1280x720
1648572167843;3;33.942;30;3312;23566;1280x720
1648572167844;2;27.743;30;3312;3263;1280x720
1648572167844;2;30.954;30;3312;3263;1280x720
1648572168833;4;32.957;30;3312;24153;1280x720
1648572168833;2;27.72;30;3312;3231;1280x720
1648572168833;0;6.611;30;3312;3231;1280x720
1648572168833;1;13.547;30;3312;3231;1280x720
1648572168845;1;20.748;30;3312;3231;1280x720
1648572168845;2;30.695;30;3312;3231;1280x720
1648572168845;3;33.787;30;3312;3231;1280x720
1648572169832;6;31.971;30;3312;24915;1280x720
1648572169833;1;23.602;30;3312;3243;1280x720
1648572169833;1;16.776;30;3312;3242;1280x720
1648572169833;2;29.739;30;3312;3242;1280x720
1648572169833;2;26.718;30;3312;3242;1280x720
1648572169834;3;32.93;30;3312;3242;1280x720
1648572169836;0;9.601;30;3312;3242;1280x720
1648572170832;7;30.969;30;3312;25523;1280x720
1648572170832;1;22.732;30;3312;3232;1280x720
1648572170833;0;8.584;30;3312;3232;1280x720
1648572170833;2;28.743;30;3312;3232;1280x720
1648572170833;2;25.729;30;3312;3232;1280x720
1648572170840;1;15.778;30;3312;3232;1280x720
1648572170841;3;31.93;30;3312;3232;1280x720
1648572171831;2;28.737;30;3312;3318;1280x720
1648572171837;0;11.58;30;3312;3330;1280x720
1648572171837;3;30.838;30;3312;3330;1280x720
1648572171837;8;34;30;3312;26184;1280x720
1648572171838;1;18.768;30;3312;3330;1280x720
1648572171838;1;25.732;30;3312;3330;1280x720
1648572171871;2;31.996;30;3312;3349;1280x720
1648572172832;1;21.679;30;3312;3256;1280x720
1648572172832;0;3.599;30;3312;3256;1280x720
1648572172833;8;33.007;30;3312;26819;1280x720
1648572172833;0;14.571;30;3312;3253;1280x720
1648572172833;2;24.725;30;3312;3253;1280x720
1648572172846;3;33.942;30;3312;3253;1280x720
1648572172846;2;27.743;30;3312;3253;1280x720
1648572172847;2;30.954;30;3312;3253;1280x720
1648572173832;4;32.957;30;3312;3417;1280x720
1648572173832;2;27.72;30;3312;3393;1280x720
1648572173833;0;6.611;30;3312;3393;1280x720
1648572173833;1;13.547;30;3312;3393;1280x720
1648572173833;8;32.025;30;3312;27570;1280x720
1648572173839;1;20.748;30;3312;3393;1280x720
1648572173839;2;30.695;30;3312;3393;1280x720
1648572173846;3;33.787;30;3312;3393;1280x720
1648572174840;6;31.971;30;3312;3328;1280x720
1648572174840;1;23.602;30;3312;3328;1280x720
1648572174840;1;16.776;30;3312;3328;1280x720
1648572174841;2;29.739;30;3312;3328;1280x720
1648572174842;2;26.718;30;3312;3328;1280x720
1648572174842;8;31.007;30;3312;28243;1280x720
1648572174843;3;32.93;30;3312;3328;1280x720
1648572174844;0;9.601;30;3312;3328;1280x720
1648572175831;7;30.969;30;3312;3427;1280x720
1648572175832;1;22.732;30;3312;3427;1280x720
1648572175832;0;8.584;30;3312;3427;1280x720
1648572175832;2;28.743;30;3312;3427;1280x720
1648572175832;2;25.729;30;3312;3427;1280x720
1648572175832;11;30.02;30;3312;28951;1280x720
1648572175846;1;15.778;30;3312;3427;1280x720
1648572175847;3;31.93;30;3312;3427;1280x720
1648572176835;2;28.737;30;3312;3474;1280x720
1648572176836;0;11.58;30;3312;3482;1280x720
1648572176836;3;30.838;30;3312;3482;1280x720
1648572176836;8;34;30;3312;3482;1280x720
1648572176836;11;29.073;30;3312;29666;1280x720
1648572176836;1;18.768;30;3312;3482;1280x720
1648572176836;1;25.732;30;3312;3482;1280x720
1648572176865;2;31.996;30;3312;3499;1280x720
1648572177832;1;21.679;30;3312;3435;1280x720
1648572177832;0;3.599;30;3312;3435;1280x720
1648572177833;8;33.007;30;3312;3435;1280x720
1648572177833;11;32.096;30;3312;30254;1280x720
1648572177833;0;14.571;30;3312;3435;1280x720
1648572177834;2;24.725;30;3312;3435;1280x720
1648572177845;3;33.942;30;3312;3503;1280x720
1648572177846;2;27.743;30;3312;3503;1280x720
1648572177846;2;30.954;30;3312;3503;1280x720
1648572178832;4;32.957;30;3312;3343;1280x720
1648572178832;2;27.72;30;3312;3343;1280x720
1648572178832;0;6.611;30;3312;3343;1280x720
1648572178832;1;13.547;30;3312;3343;1280x720
1648572178832;11;31.363;30;3312;30913;1280x720
1648572178834;8;32.025;30;3312;3343;1280x720
1648572178841;1;20.748;30;3312;3343;1280x720
1648572178848;2;30.695;30;3312;3343;1280x720
1648572178849;3;33.787;30;3312;3343;1280x720
1648572179835;6;31.971;30;3312;3305;1280x720
1648572179835;1;23.602;30;3312;3305;1280x720
1648572179835;1;16.776;30;3312;3305;1280x720
