timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648569804,3,0,1,0,30513007,30513481,30513407,0,77,0,2,0,1,0,49460557,49460825,49460762,0,67,0,1,0,1,0,70631135,70631296,70631262,0,36,0
1648569805,3,0,1,0,31522749,31522930,31522901,0,33,0,2,0,1,0,50471823,50471897,50471875,0,24,0,1,0,1,0,71643346,71643411,71643390,0,23,0
1648569806,3,0,1,0,32577128,32577256,32577238,0,20,0,2,0,1,0,51521068,51521141,51521130,0,12,0,1,0,1,0,72683405,72683432,72683423,0,10,0
1648569807,3,0,1,0,33600158,33600244,33600224,0,22,0,2,0,1,0,52548359,52548767,52548619,0,149,0,1,0,1,0,73713747,73713812,73713793,0,20,0
1648569808,3,0,1,0,34621180,34621271,34621259,0,13,0,2,0,1,0,53563900,53570704,53570689,0,16,0,1,0,1,0,74735051,74735299,74735246,0,54,0
1648569809,3,0,1,0,35639737,35639860,35639845,0,16,0,2,0,1,0,54587191,54589267,54589253,0,15,0,1,0,1,0,75758720,75758815,75758767,0,49,2
1648569810,3,0,1,0,36651845,36652445,36652162,7,284,0,2,0,1,0,55599996,55600041,55600030,0,12,0,1,0,1,0,76771578,76771688,76771673,0,16,0
1648569811,3,0,1,0,37669757,37669799,37669785,0,15,0,2,0,1,0,56617959,56618003,56617993,0,11,0,1,0,1,0,77789678,77789743,77789727,0,18,0
1648569812,3,0,1,0,38684082,38684211,38684166,0,46,0,2,0,1,0,57633263,57633449,57633410,0,40,4,1,0,1,0,78804585,78804642,78804616,0,28,0
1648569814,3,0,1,0,39710802,39711014,39710907,0,109,0,2,0,1,0,58658225,58658918,58658675,0,244,16,1,0,1,0,79827506,79827679,79827618,0,62,0
1648569815,3,0,1,0,40720556,40721021,40720895,0,127,0,2,0,1,0,59663835,59663936,59663920,0,17,0,1,0,1,0,80835021,80835064,80835052,0,13,0
1648569816,3,0,1,0,41731933,41732034,41732019,0,16,0,2,0,1,0,60681095,60681390,60681181,0,210,0,1,0,1,0,81852777,81852836,81852821,0,16,0
1648569817,3,0,1,0,42761061,42761099,42761088,0,12,0,2,0,1,0,61709546,61709699,61709624,0,76,0,1,0,1,0,82881329,82881362,82881352,0,11,0
1648569818,3,0,1,0,43783841,43783910,43783883,0,28,0,2,0,1,0,62733269,62733312,62733300,0,13,0,1,0,1,0,83904745,83904798,83904783,0,16,0
1648569819,3,0,1,0,44799475,44799526,44799512,0,15,0,2,0,1,0,63748857,63748895,63748885,0,11,0,1,0,1,0,84919590,84919698,84919650,0,49,0
1648569820,3,0,1,0,45850285,45851091,45850674,0,418,0,2,0,1,0,64797879,64798131,64798041,1,91,10,1,0,1,0,85968802,85969066,85968947,0,120,3
1648569821,3,0,1,0,46870680,46871237,46870962,0,276,0,2,0,1,0,65811728,65811767,65811757,0,11,0,1,0,1,0,86983277,86983359,86983340,0,21,0
1648569822,3,0,1,0,47880600,47880647,47880633,0,15,0,2,0,1,0,66829595,66829644,66829630,0,15,0,1,0,1,0,87998112,87998231,87998218,0,14,0
1648569823,3,0,1,0,48891859,48892306,48892230,6,77,0,2,0,1,0,67838061,67838304,67838203,12,102,0,1,0,1,0,89009116,89009149,89009139,0,11,0
1648569824,3,0,1,0,49918887,49918988,49918941,0,48,0,2,0,1,0,68858374,68858459,68858429,2,30,0,1,0,1,0,90029659,90029762,90029748,0,16,0
1648569825,3,0,1,0,50924476,50924518,50924503,0,17,0,2,0,1,0,69871691,69871727,69871717,0,11,0,1,0,1,0,91043497,91043541,91043530,0,12,0
1648569826,3,0,1,0,51944210,51951792,51950840,0,954,0,2,0,1,0,70887453,70888143,70887962,9,182,16,1,0,1,0,92058206,92058550,92058483,0,68,10
1648569827,3,0,1,0,52963487,52963561,52963550,0,12,0,2,0,1,0,71905566,71905743,71905701,0,43,0,1,0,1,0,93073839,93073990,93073966,0,26,0
1648569828,3,0,1,0,53966175,53966312,53966265,0,48,0,2,0,1,0,72915346,72915532,72915493,0,40,4,1,0,1,0,94085029,94085066,94085053,0,14,0
1648569829,3,0,1,0,54987571,54988172,54988155,0,19,0,2,0,1,0,73934174,73935021,73935009,0,13,0,1,0,1,0,95104525,95104577,95104563,0,15,0
1648569830,3,0,1,0,56015566,56015772,56015754,0,20,0,2,0,1,0,74956424,74957425,74957410,0,16,0,1,0,1,0,96127515,96127785,96127697,0,90,5
1648569831,3,0,1,0,57026550,57027468,57027384,0,85,0,2,0,1,0,75965042,75967737,75965371,0,2368,0,1,0,1,0,97136776,97136827,97136814,0,14,0
1648569832,3,0,1,0,58053820,58053904,58053865,0,40,0,2,0,1,0,76998787,76999340,76999098,25,243,0,1,0,1,0,98168646,98168745,98168708,3,38,0
1648569833,3,0,1,0,59054144,59054252,59054209,0,44,0,2,0,1,0,78002186,78002265,78002235,0,31,0,1,0,1,0,99172406,99172498,99172466,0,33,2
1648569834,3,0,1,0,60094015,60094057,60094043,0,15,0,2,0,1,0,79040861,79041845,79041287,13,559,4,1,0,1,0,100210370,100210403,100210393,0,11,0
1648569835,3,0,1,0,61138001,61138039,61138029,0,11,0,2,0,1,0,80075782,80075823,80075813,0,11,0,1,0,1,0,101247562,101247596,101247586,0,11,0
1648569836,3,0,1,0,62155258,62155595,62155582,0,15,0,2,0,1,0,81104693,81104768,81104757,0,12,0,1,0,1,0,102264940,102265013,102264994,0,20,0
1648569838,3,0,1,0,64179602,64179689,64179657,0,33,0,2,0,1,0,83126659,83126755,83126743,0,13,0,1,0,1,0,104295085,104295909,104295789,3,121,1
1648569839,3,0,1,0,65231443,65231523,65231492,0,33,0,2,0,1,0,84180397,84180512,84180501,0,12,0,1,0,1,0,105344214,105344240,105344231,0,10,0
1648569840,3,0,1,0,66232163,66232413,66232322,0,92,0,2,0,1,0,85179265,85180756,85179832,0,926,5,1,0,1,0,106350064,106350112,106350099,0,14,0
1648569841,3,0,1,0,67266141,67273284,67273264,0,22,0,2,0,1,0,86207912,86207951,86207940,0,12,0,1,0,1,0,107376684,107376741,107376730,0,12,0
1648569842,3,0,1,0,68277467,68277510,68277495,0,16,0,2,0,1,0,87226169,87226221,87226208,0,14,0,1,0,1,0,108397368,108397552,108397488,0,65,0
1648569843,3,0,1,0,69321279,69322604,69322393,0,212,0,2,0,1,0,88261361,88262149,88261889,0,263,24,1,0,1,0,109420043,109420285,109420199,0,88,0
1648569844,3,0,1,0,70312441,70313691,70313023,0,669,0,2,0,1,0,89255208,89255365,89255275,0,91,2,1,0,1,0,110425674,110426804,110426751,0,55,0
1648569845,3,0,1,0,71338647,71339176,71339021,0,156,1,2,0,1,0,90283527,90284365,90284205,1,162,3,1,0,1,0,111452035,111452724,111452483,1,242,18
1648569846,3,0,1,0,72348045,72348114,72348098,0,17,0,2,0,1,0,91294621,91294674,91294658,0,17,0,1,0,1,0,112465639,112466139,112466027,0,114,0
1648569847,3,0,1,0,73375888,73376042,73375992,0,52,0,2,0,1,0,92319607,92320403,92320227,0,178,3,1,0,1,0,113489845,113490376,113490354,0,23,0
1648569848,3,0,1,0,74413032,74413875,74413594,0,283,1,2,0,1,0,93340915,93341508,93341494,0,15,17,1,0,1,0,114506283,114512490,114506431,2,6061,7
1648569849,3,0,1,0,75405845,75406249,75406190,2,59,0,2,0,1,0,94349411,94349605,94349523,11,82,0,1,0,1,0,115520901,115520929,115520920,0,10,0
1648569850,3,0,1,0,76439416,76439496,76439441,0,56,0,2,0,1,0,95370517,95380709,95380694,0,16,0,1,0,1,0,116536305,116536340,116536330,0,11,0
1648569851,3,0,1,0,77447590,77448199,77447900,2,299,0,2,0,1,0,96388472,96388500,96388491,0,10,0,1,0,1,0,117558632,117558667,117558657,0,11,0
