timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1648575154,3,0,1,0,17802311,17802474,17802438,0,38,0,2,0,1,0,33292580,33292708,33292677,0,33,0,1,0,1,0,53372896,53373057,53373018,0,40,0
1648575155,3,0,1,0,18815081,18815239,18815159,0,82,0,2,0,1,0,34305417,34305555,34305506,0,50,4,1,0,1,0,54385849,54385883,54385873,0,10,0
1648575156,3,0,1,0,19836864,19837221,19837133,0,89,1,2,0,1,0,35326628,35326681,35326663,0,19,0,1,0,1,0,55404876,55406060,55405763,0,298,0
1648575157,3,0,1,0,20882307,20882344,20882334,0,10,0,2,0,1,0,36373006,36373038,36373028,0,11,0,1,0,1,0,56432905,56433642,56433402,24,241,13
1648575158,3,0,1,0,21965107,21965321,21965281,0,41,0,2,0,1,0,37447347,37453107,37453095,0,13,0,1,0,1,0,57491596,57510181,57491614,109,18569,116
1648575159,3,0,1,0,22914676,22919149,22914699,23,4452,6,2,0,1,0,38403361,38403454,38403431,0,25,0,1,0,1,0,58484020,58484124,58484101,0,25,0
1648575160,3,0,1,0,23994203,23995263,23994835,0,429,4,2,0,1,0,39464362,39483660,39483647,0,15,0,1,0,1,0,59519537,59535444,59519555,65,15932,139
1648575161,3,0,1,0,24991661,25001934,25001915,0,21,0,2,0,1,0,40477275,40477319,40477308,0,12,0,1,0,1,0,60558194,60558241,60558227,0,14,0
1648575162,3,0,1,0,26056994,26057033,26057020,0,14,0,2,0,1,0,41534990,41540677,41540665,0,13,0,1,0,1,0,61598191,61598217,61598207,0,11,0
1648575163,3,0,1,0,27054274,27054658,27054510,0,149,0,2,0,1,0,42543256,42543364,42543345,0,20,0,1,0,1,0,62623579,62624035,62624008,0,29,0
1648575164,3,0,1,0,28067067,28068631,28067988,0,645,0,2,0,1,0,43545885,43553120,43553108,0,14,0,1,0,1,0,63625637,63626554,63626462,0,93,0
1648575165,3,0,1,0,29114591,29130192,29130172,0,22,0,2,0,1,0,44590324,44605497,44605482,0,16,0,1,0,1,0,64654580,64657917,64657197,0,722,80
1648575166,3,0,1,0,30136518,30137139,30136895,0,245,1,2,0,1,0,45619943,45621095,45621083,0,13,0,1,0,1,0,65696419,65696458,65696447,0,12,0
1648575167,3,0,1,0,31199265,31203503,31203485,0,19,0,2,0,1,0,46663085,46669601,46663107,50,6591,11,1,0,1,0,66712000,66744058,66744004,0,55,0
1648575168,3,0,1,0,32170577,32188355,32188335,0,22,0,2,0,1,0,47646440,47653765,47653752,0,14,0,1,0,1,0,67727467,67727504,67727493,0,12,0
1648575169,3,0,1,0,33191175,33191615,33191586,0,31,0,2,0,1,0,48676744,48676775,48676766,0,10,0,1,0,1,0,68743363,68743437,68743412,0,26,2
1648575170,3,0,1,0,34234146,34289153,34289136,0,18,0,2,0,1,0,49698102,49713807,49698136,175,15673,22,1,0,1,0,69764473,69779175,69779160,0,16,0
1648575171,3,0,1,0,35243898,35245186,35244646,0,541,0,2,0,1,0,50733157,50733246,50733221,0,26,1,1,0,1,0,70810920,70811048,70810989,0,60,0
1648575172,3,0,1,0,36315767,36332017,36331972,0,46,0,2,0,1,0,51762376,51785827,51762399,177,23430,107,1,0,1,0,71835459,71835562,71835539,0,25,0
1648575173,3,0,1,0,37388406,37388483,37388470,0,14,0,2,0,1,0,52809280,52826722,52809300,149,17424,77,1,0,1,0,72868032,72869024,72868065,12,960,0
1648575175,3,0,1,0,38369239,38374710,38370961,3,3751,8,2,0,1,0,53807595,53840705,53807728,122,32979,42,1,0,1,0,73887283,73887585,73887571,0,15,0
1648575175,3,0,1,0,39345592,39347882,39346604,2,1279,0,2,0,1,0,54828803,54828855,54828839,0,17,0,1,0,1,0,74909303,74909777,74909756,0,22,0
1648575176,3,0,1,0,40390083,40391088,40390642,0,448,0,2,0,1,0,55864500,55864530,55864521,0,10,0,1,0,1,0,75925393,75926040,75925421,0,621,0
1648575178,3,0,1,0,41379940,41402784,41402769,0,16,0,2,0,1,0,56864528,56865371,56864687,57,685,0,1,0,1,0,76945204,76945281,76945263,0,19,0
1648575179,3,0,1,0,42413756,42413797,42413785,0,13,0,2,0,1,0,57903934,57904006,57903988,0,20,0,1,0,1,0,77971588,77971631,77971619,0,13,0
1648575180,3,0,1,0,43469985,43470020,43470007,0,14,0,2,0,1,0,58954879,58954953,58954899,0,55,0,1,0,1,0,78989032,79018072,79018060,0,13,0
1648575181,3,0,1,0,44428915,44428968,44428949,0,21,0,2,0,1,0,59919780,59919826,59919815,0,12,0,1,0,1,0,80000665,80000729,80000715,0,16,0
1648575182,3,0,1,0,45460125,45460227,45460203,0,26,0,2,0,1,0,60950769,60950846,60950828,0,19,0,1,0,1,0,81015363,81015572,81015497,0,76,0
1648575183,3,0,1,0,46515833,46515922,46515907,0,16,0,2,0,1,0,62006795,62006864,62006853,0,12,0,1,0,1,0,82066294,82066334,82066324,0,12,0
1648575184,3,0,1,0,47519870,47519939,47519908,0,33,0,2,0,1,0,63010769,63010844,63010816,0,29,0,1,0,1,0,83078602,83078750,83078665,0,86,0
1648575185,3,0,1,0,48599366,48606883,48601910,4,4974,0,2,0,1,0,64080625,64080660,64080650,0,11,0,1,0,1,0,84127162,84139550,84127500,117,12052,43
1648575186,3,0,1,0,49622577,49622680,49622663,0,18,0,2,0,1,0,65090288,65112355,65112340,0,16,0,1,0,1,0,85170417,85170810,85170721,0,91,8
1648575187,3,0,1,0,50698469,50702269,50702010,0,260,4,2,0,1,0,66140617,66167159,66140643,95,26518,90,1,0,1,0,86198237,86212982,86212967,0,16,0
1648575188,3,0,1,0,51684020,51685048,51684730,4,319,0,2,0,1,0,67155233,67156873,67156461,12,413,29,1,0,1,0,87224596,87227360,87226467,17,894,22
1648575189,3,0,1,0,52724400,52725683,52725127,0,557,0,2,0,1,0,68175174,68177691,68175206,9,2486,0,1,0,1,0,88243883,88243921,88243910,0,12,0
1648575190,3,0,1,0,53735196,53735442,53735348,0,95,0,2,0,1,0,69212755,69213982,69213332,31,651,1,1,0,1,0,89261016,89288788,89261051,94,27739,107
1648575191,3,0,1,0,54784135,54834711,54834691,0,22,0,2,0,1,0,70231745,70261395,70231778,253,29620,49,1,0,1,0,90312556,90312655,90312633,0,24,0
1648575192,3,0,1,0,55877303,55877343,55877328,0,16,0,2,0,1,0,71288472,71344940,71310254,180,34690,196,1,0,1,0,91364321,91366054,91365446,0,610,6
